GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057011520,14,20,11,45,9,8,7,24,0.642857143,0.4,0.636363636,0.533333333
12057011521,16,33,17,66,9,18,7,34,0.5625,0.545454545,0.411764706,0.515151515
12057011522,9,12,4,25,5,8,1,14,0.555555556,0.666666667,0.25,0.56
12057011523,3,0,1,4,1,0,1,2,0.333333333,#DIV/0!,1,0.5
12057011524,76,58,64,198,36,29,30,95,0.473684211,0.5,0.46875,0.47979798
12057011603,10,9,10,29,4,3,2,9,0.4,0.333333333,0.2,0.310344828
12057011605,65,84,65,214,41,51,39,131,0.630769231,0.607142857,0.6,0.612149533
12057011606,31,53,53,137,23,27,24,74,0.741935484,0.509433962,0.452830189,0.540145985
12057011607,39,54,40,133,11,32,21,64,0.282051282,0.592592593,0.525,0.481203008
12057011608,0,3,1,4,0,2,1,3,#DIV/0!,0.666666667,1,0.75
12057011610,27,61,40,128,16,33,17,66,0.592592593,0.540983607,0.425,0.515625
12057011611,17,22,29,68,8,14,13,35,0.470588235,0.636363636,0.448275862,0.514705882
12057011612,29,41,40,110,18,18,21,57,0.620689655,0.43902439,0.525,0.518181818
12057011613,42,65,122,229,26,38,73,137,0.619047619,0.584615385,0.598360656,0.598253275
12057011614,39,55,48,142,20,34,24,78,0.512820513,0.618181818,0.5,0.549295775
12057011615,108,113,100,321,54,62,35,151,0.5,0.548672566,0.35,0.470404984
12057011706,103,103,110,316,53,49,49,151,0.514563107,0.475728155,0.445454545,0.477848101
12057011708,57,75,115,247,24,19,33,76,0.421052632,0.253333333,0.286956522,0.307692308
12057011709,9,14,16,39,5,7,6,18,0.555555556,0.5,0.375,0.461538462
12057011710,56,48,65,169,23,24,35,82,0.410714286,0.5,0.538461538,0.485207101
12057011712,43,44,57,144,22,22,31,75,0.511627907,0.5,0.543859649,0.520833333
12057011802,17,25,19,61,11,13,10,34,0.647058824,0.52,0.526315789,0.557377049
12057011803,110,119,66,295,56,55,32,143,0.509090909,0.462184874,0.484848485,0.484745763
12057011804,26,25,36,87,15,13,25,53,0.576923077,0.52,0.694444444,0.609195402
12057011901,86,96,140,322,51,48,86,185,0.593023256,0.5,0.614285714,0.574534161
12057011902,68,78,62,208,36,45,28,109,0.529411765,0.576923077,0.451612903,0.524038462
12057011904,58,64,63,185,27,36,38,101,0.465517241,0.5625,0.603174603,0.545945946
12057011905,30,26,29,85,16,19,12,47,0.533333333,0.730769231,0.413793103,0.552941176
12057011906,109,90,76,275,34,51,32,117,0.311926606,0.566666667,0.421052632,0.425454545
12057012001,24,30,34,88,10,16,20,46,0.416666667,0.533333333,0.588235294,0.522727273
12057012002,53,60,66,179,26,31,38,95,0.490566038,0.516666667,0.575757576,0.530726257
12057012103,122,198,187,507,62,110,102,274,0.508196721,0.555555556,0.545454545,0.540433925
12057012104,164,190,195,549,86,110,101,297,0.524390244,0.578947368,0.517948718,0.540983607
12057012106,8,12,19,39,4,5,9,18,0.5,0.416666667,0.473684211,0.461538462
12057012107,78,54,60,192,29,29,28,86,0.371794872,0.537037037,0.466666667,0.447916667
12057012108,26,21,42,89,15,15,20,50,0.576923077,0.714285714,0.476190476,0.561797753
12057012206,18,21,27,66,8,11,14,33,0.444444444,0.523809524,0.518518519,0.5
12057012207,20,24,22,66,13,9,15,37,0.65,0.375,0.681818182,0.560606061
12057012208,58,54,73,185,34,37,43,114,0.586206897,0.685185185,0.589041096,0.616216216
12057012209,9,21,22,52,3,11,10,24,0.333333333,0.523809524,0.454545455,0.461538462
12057012210,22,28,29,79,7,16,15,38,0.318181818,0.571428571,0.517241379,0.481012658
12057012211,1,3,7,11,1,1,4,6,1,0.333333333,0.571428571,0.545454545
12057012212,171,116,130,417,73,62,81,216,0.426900585,0.534482759,0.623076923,0.517985612
12057012213,17,15,29,61,12,7,12,31,0.705882353,0.466666667,0.413793103,0.508196721
12057012301,37,38,48,123,14,13,28,55,0.378378378,0.342105263,0.583333333,0.447154472
12057012303,19,26,48,93,10,13,27,50,0.526315789,0.5,0.5625,0.537634409
12057012304,21,19,25,65,9,10,9,28,0.428571429,0.526315789,0.36,0.430769231
12057012401,21,16,23,60,9,6,12,27,0.428571429,0.375,0.52173913,0.45
12057012402,2,20,11,33,0,12,6,18,0,0.6,0.545454545,0.545454545
12057012403,14,18,36,68,6,9,20,35,0.428571429,0.5,0.555555556,0.514705882
12057012501,14,27,19,60,7,13,13,33,0.5,0.481481481,0.684210526,0.55
12057012503,25,29,28,82,19,14,17,50,0.76,0.482758621,0.607142857,0.609756098
12057012504,8,8,8,24,4,3,3,10,0.5,0.375,0.375,0.416666667
12057012600,25,40,47,112,12,21,31,64,0.48,0.525,0.659574468,0.571428571
12057012701,40,36,56,132,24,16,31,71,0.6,0.444444444,0.553571429,0.537878788
12057012702,32,28,31,91,17,15,22,54,0.53125,0.535714286,0.709677419,0.593406593
12057012800,23,19,30,72,12,10,20,42,0.52173913,0.526315789,0.666666667,0.583333333
12057012900,34,22,19,75,18,14,10,42,0.529411765,0.636363636,0.526315789,0.56
12057013001,36,66,95,197,21,34,42,97,0.583333333,0.515151515,0.442105263,0.492385787
12057013002,10,15,32,57,8,6,18,32,0.8,0.4,0.5625,0.561403509
12057013003,34,23,19,76,24,12,12,48,0.705882353,0.52173913,0.631578947,0.631578947
12057013004,1,17,12,30,0,8,6,14,0,0.470588235,0.5,0.466666667
12057013100,19,13,8,40,6,8,4,18,0.315789474,0.615384615,0.5,0.45
12057013203,8,5,11,24,3,2,4,9,0.375,0.4,0.363636364,0.375
12057013204,21,15,32,68,16,6,18,40,0.761904762,0.4,0.5625,0.588235294
12057013205,20,13,27,60,9,8,17,34,0.45,0.615384615,0.62962963,0.566666667
12057013206,3,6,13,22,0,2,1,3,0,0.333333333,0.076923077,0.136363636
12057013207,11,10,12,33,3,3,9,15,0.272727273,0.3,0.75,0.454545455
12057013208,11,8,8,27,6,3,3,12,0.545454545,0.375,0.375,0.444444444
12057013305,4,4,8,16,2,1,5,8,0.5,0.25,0.625,0.5
12057013307,56,74,82,212,41,36,45,122,0.732142857,0.486486486,0.548780488,0.575471698
12057013310,19,21,23,63,7,11,10,28,0.368421053,0.523809524,0.434782609,0.444444444
12057013311,21,15,30,66,10,9,10,29,0.476190476,0.6,0.333333333,0.439393939
12057013312,12,14,14,40,7,8,6,21,0.583333333,0.571428571,0.428571429,0.525
12057013313,12,7,14,33,7,4,6,17,0.583333333,0.571428571,0.428571429,0.515151515
12057013314,17,17,16,50,5,8,9,22,0.294117647,0.470588235,0.5625,0.44
12057013315,52,53,74,179,25,28,26,79,0.480769231,0.528301887,0.351351351,0.441340782
12057013316,67,117,78,262,49,61,40,150,0.731343284,0.521367521,0.512820513,0.572519084
12057013317,29,58,61,148,14,27,24,65,0.482758621,0.465517241,0.393442623,0.439189189
12057013318,63,85,74,222,29,30,35,94,0.46031746,0.352941176,0.472972973,0.423423423
12057013319,34,55,48,137,16,24,20,60,0.470588235,0.436363636,0.416666667,0.437956204
12057013320,52,63,41,156,29,28,21,78,0.557692308,0.444444444,0.512195122,0.5
12057013321,47,49,49,145,18,27,26,71,0.382978723,0.551020408,0.530612245,0.489655172
12057013322,95,114,105,314,36,47,46,129,0.378947368,0.412280702,0.438095238,0.410828025
12057013406,8,12,11,31,5,6,7,18,0.625,0.5,0.636363636,0.580645161
12057013407,6,16,12,34,2,9,3,14,0.333333333,0.5625,0.25,0.411764706
12057013409,10,21,8,39,8,11,3,22,0.8,0.523809524,0.375,0.564102564
12057013410,56,157,80,293,42,74,34,150,0.75,0.47133758,0.425,0.511945392
12057013411,4,14,7,25,2,9,3,14,0.5,0.642857143,0.428571429,0.56
12057013412,25,10,24,59,14,3,11,28,0.56,0.3,0.458333333,0.474576271
12057013413,3,5,5,13,1,2,3,6,0.333333333,0.4,0.6,0.461538462
12057013414,31,29,46,106,12,16,22,50,0.387096774,0.551724138,0.47826087,0.471698113
12057013415,3,10,9,22,2,5,3,10,0.666666667,0.5,0.333333333,0.454545455
12057013501,94,98,82,274,58,59,48,165,0.617021277,0.602040816,0.585365854,0.602189781
12057013503,31,34,31,96,17,19,16,52,0.548387097,0.558823529,0.516129032,0.541666667
